DEBUG | 2026-02-12 13:13:19,683 - Logger created and loaded
DEBUG | 2026-02-12 13:14:57,627 - Current user: <models.User object at 0x00000233DAFAD790>
DEBUG | 2026-02-12 13:14:57,765 - Global menu: []
DEBUG | 2026-02-12 13:15:01,480 - Global menu: []
DEBUG | 2026-02-12 13:15:01,677 - Global menu: []
DEBUG | 2026-02-12 13:17:02,690 - Request for path admin, HTML file: admin.html
DEBUG | 2026-02-12 13:17:03,056 - Current user: <models.User object at 0x00000233DB1295B0>
DEBUG | 2026-02-12 13:17:09,802 - Request for path admin_menu, HTML file: admin_menu.html
DEBUG | 2026-02-12 13:17:10,247 - Global menu: []
DEBUG | 2026-02-12 13:17:21,185 - Global menu: [<models.Dish object at 0x00000233DB17DE50>, <models.Dish object at 0x00000233DB17DD90>, <models.Dish object at 0x00000233DB17DD30>, <models.Dish object at 0x00000233DB17C440>, <models.Dish object at 0x00000233DB17C230>, <models.Dish object at 0x00000233DB17C200>, <models.Dish object at 0x00000233DB17C1D0>, <models.Dish object at 0x00000233DB17C1A0>, <models.Dish object at 0x00000233DB17C260>, <models.Dish object at 0x00000233DB17C320>, <models.Dish object at 0x00000233DB17C2C0>, <models.Dish object at 0x00000233DB17C290>, <models.Dish object at 0x00000233DB17C2F0>, <models.Dish object at 0x00000233DB17C050>, <models.Dish object at 0x00000233DB17C7A0>, <models.Dish object at 0x00000233DB17CCE0>, <models.Dish object at 0x00000233DB17C7D0>, <models.Dish object at 0x00000233DB17E060>, <models.Dish object at 0x00000233DB17C9E0>, <models.Dish object at 0x00000233DB17EF60>, <models.Dish object at 0x00000233DB17EF90>, <models.Dish object at 0x00000233DB17EFC0>, <models.Dish object at 0x00000233DB17EFF0>, <models.Dish object at 0x00000233DB17F020>, <models.Dish object at 0x00000233DB17F050>, <models.Dish object at 0x00000233DB17F080>, <models.Dish object at 0x00000233DB17F0B0>, <models.Dish object at 0x00000233DB17F0E0>, <models.Dish object at 0x00000233DB17F110>, <models.Dish object at 0x00000233DB17F140>, <models.Dish object at 0x00000233DB17F170>, <models.Dish object at 0x00000233DB17F1A0>, <models.Dish object at 0x00000233DB17F1D0>, <models.Dish object at 0x00000233DB17F200>, <models.Dish object at 0x00000233DB17F230>, <models.Dish object at 0x00000233DB17F260>, <models.Dish object at 0x00000233DB17F290>, <models.Dish object at 0x00000233DB17F2C0>, <models.Dish object at 0x00000233DB17F2F0>, <models.Dish object at 0x00000233DB17F320>, <models.Dish object at 0x00000233DB17F350>, <models.Dish object at 0x00000233DB17F380>, <models.Dish object at 0x00000233DB156750>, <models.Dish object at 0x00000233DB156930>, <models.Dish object at 0x00000233DB1563F0>, <models.Dish object at 0x00000233DAEEA300>, <models.Dish object at 0x00000233DB16B650>, <models.Dish object at 0x00000233DB16B620>, <models.Dish object at 0x00000233DB16B7D0>, <models.Dish object at 0x00000233DB16B230>, <models.Dish object at 0x00000233DB16B9E0>, <models.Dish object at 0x00000233DB16ACF0>, <models.Dish object at 0x00000233DB16B110>, <models.Dish object at 0x00000233DB16AA50>, <models.Dish object at 0x00000233DB16AE40>, <models.Dish object at 0x00000233DB16AD50>, <models.Dish object at 0x00000233DB16B0E0>, <models.Dish object at 0x00000233DB16B0B0>, <models.Dish object at 0x00000233DB16AD20>, <models.Dish object at 0x00000233DB16B200>, <models.Dish object at 0x00000233DB16AEA0>, <models.Dish object at 0x00000233DB16B320>, <models.Dish object at 0x00000233DB16AD80>, <models.Dish object at 0x00000233DB16B3E0>, <models.Dish object at 0x00000233DB16B140>, <models.Dish object at 0x00000233DB16B170>, <models.Dish object at 0x00000233DB16B260>, <models.Dish object at 0x00000233DB16B2C0>, <models.Dish object at 0x00000233DB16AFC0>, <models.Dish object at 0x00000233DB16B080>, <models.Dish object at 0x00000233DB16BD70>, <models.Dish object at 0x00000233DB16BC80>, <models.Dish object at 0x00000233D7FFAF30>, <models.Dish object at 0x00000233DAE01AC0>, <models.Dish object at 0x00000233DADABA40>, <models.Dish object at 0x00000233DB17F3B0>, <models.Dish object at 0x00000233DB17F3E0>, <models.Dish object at 0x00000233DB17F410>, <models.Dish object at 0x00000233DB17F440>, <models.Dish object at 0x00000233DB17F470>]
DEBUG | 2026-02-12 13:17:52,999 - Global menu: [<models.Dish object at 0x00000233D7FFAF30>, <models.Dish object at 0x00000233DADABA40>, <models.Dish object at 0x00000233DB17C230>, <models.Dish object at 0x00000233DB17C440>, <models.Dish object at 0x00000233DB17C7A0>, <models.Dish object at 0x00000233DB17F440>, <models.Dish object at 0x00000233DB17F530>, <models.Dish object at 0x00000233DB17F860>, <models.Dish object at 0x00000233DB17F770>, <models.Dish object at 0x00000233DB17F2C0>, <models.Dish object at 0x00000233DB17F290>, <models.Dish object at 0x00000233DB17F1D0>, <models.Dish object at 0x00000233DB17F200>, <models.Dish object at 0x00000233DB17F230>, <models.Dish object at 0x00000233DB17F260>, <models.Dish object at 0x00000233DB12ABD0>, <models.Dish object at 0x00000233DB12BA70>, <models.Dish object at 0x00000233DB129A60>, <models.Dish object at 0x00000233DB12B0E0>, <models.Dish object at 0x00000233DB129A90>, <models.Dish object at 0x00000233DB129DC0>, <models.Dish object at 0x00000233DB12B800>, <models.Dish object at 0x00000233DB12BD10>, <models.Dish object at 0x00000233DB12A960>, <models.Dish object at 0x00000233DB12B8F0>, <models.Dish object at 0x00000233DB12B6E0>, <models.Dish object at 0x00000233DB129AF0>, <models.Dish object at 0x00000233DB12B770>, <models.Dish object at 0x00000233DB12AF30>, <models.Dish object at 0x00000233DB12B680>, <models.Dish object at 0x00000233DB129B20>, <models.Dish object at 0x00000233DB1299A0>, <models.Dish object at 0x00000233DB16B200>, <models.Dish object at 0x00000233DB16AA50>, <models.Dish object at 0x00000233DB16B110>, <models.Dish object at 0x00000233DB16B230>, <models.Dish object at 0x00000233DB16B9E0>, <models.Dish object at 0x00000233DB16ACF0>, <models.Dish object at 0x00000233DB16B650>, <models.Dish object at 0x00000233DB16B620>, <models.Dish object at 0x00000233DB16B7D0>, <models.Dish object at 0x00000233DB16A0C0>, <models.Dish object at 0x00000233DB16B980>, <models.Dish object at 0x00000233DB16BD10>, <models.Dish object at 0x00000233DB16AE40>, <models.Dish object at 0x00000233DB16B320>, <models.Dish object at 0x00000233DB16AD50>, <models.Dish object at 0x00000233DB16B3E0>, <models.Dish object at 0x00000233DB16B260>, <models.Dish object at 0x00000233DB16B170>, <models.Dish object at 0x00000233DB16B140>, <models.Dish object at 0x00000233DB16AD80>, <models.Dish object at 0x00000233DB16AFC0>, <models.Dish object at 0x00000233DB16B2C0>, <models.Dish object at 0x00000233DB16BF80>, <models.Dish object at 0x00000233DB16BC80>, <models.Dish object at 0x00000233DB16B0B0>, <models.Dish object at 0x00000233DB16BD70>, <models.Dish object at 0x00000233DB16AD20>, <models.Dish object at 0x00000233DB16B0E0>, <models.Dish object at 0x00000233DB16B530>, <models.Dish object at 0x00000233DB16B920>, <models.Dish object at 0x00000233DB16BE90>, <models.Dish object at 0x00000233DB16BB30>, <models.Dish object at 0x00000233DB16BE60>, <models.Dish object at 0x00000233DB16BE00>, <models.Dish object at 0x00000233DB16BE30>, <models.Dish object at 0x00000233DB16BEC0>, <models.Dish object at 0x00000233DB16B9B0>, <models.Dish object at 0x00000233DB16B470>, <models.Dish object at 0x00000233DB16B950>, <models.Dish object at 0x00000233DB16BA10>, <models.Dish object at 0x00000233DB16BB00>, <models.Dish object at 0x00000233DB16BDD0>, <models.Dish object at 0x00000233DB16BC20>, <models.Dish object at 0x00000233DB16BD40>, <models.Dish object at 0x00000233DB16BC50>, <models.Dish object at 0x00000233DB16BBF0>, <models.Dish object at 0x00000233DB16BEF0>, <models.Dish object at 0x00000233DB16BF50>, <models.Dish object at 0x00000233DB16BCB0>]
